Participant Private ID,randomiser-7gnq,1. Age object-3 Response,2. Gender object-4 Response,3. Hispanic/Latino object-6 Response,4. Identify Race object-8 Response,5. Level of Education object-15 Response,6. Income object-10 Response,7. Location object-11 Response,8. How often object-12 Response,perceived_decision_pressure,perceived_authenticity_of_product,perceived_cue_influence,decision_confidence,perceived_manipulativeness
13397789.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Once a week,2,5,5,4,3
13397990.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,4,2,6,6
13398020.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,5,1,7,4
13398032.0,No Cue,18–24 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,3,2,5,5,3
13398039.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,1,3,3,6,3
13398111.0,Scarcity,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,Once a week,1,4,2,5,3
13398130.0,Popularity,25–34 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,1,5,1,6,5
13398163.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,5,1,6,3
13398242.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,5,4,2,6,6
13398264.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,5,5,5,5,6
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4
13398917.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,2,4,4,5,5
13401185.0,P+S,18–24 years old,Prefer not to say,No,Black or African American,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,3,3,2,2,5
13401568.0,Scarcity,25–34 years old,Non-binary / Third gender,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,5,2,3,5,5
13404796.0,P+S,18–24 years old,Male,No,Black or African American,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,4,3,2,7,5
13405085.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,2,3,5,6,5
13405319.0,No Cue,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,2–3 times a month,1,6,7,7,6
13406503.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,2–3 times a month,3,2,3,7,6
13414608.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,1,6,4,3,4
13415287.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,2–3 times a month,2,5,4,5,4
13415294.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,3,4,3,5,3
13415326.0,Popularity,25–34 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,3,5,3,5,3
13415333.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,About once a month,4,5,5,6,6
13415354.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,1,3,1,6,1
13415615.0,Scarcity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,4,1,6,2
13415624.0,No Cue,25–34 years old,Male,No,White,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,About once a month,1,3,1,5,5
13415740.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,2,5,5,5,7
13415801.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","$40,000–$59,999",Yes,2–3 times a month,1,2,2,4,6
13416249.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,3,2,1,2,3
13416442.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,2–3 times a month,2,5,5,6,2
13416489.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,Multiple times a week,3,3,3,4,5
13432034.0,No Cue,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$80,000–$99,999",Yes,About once a month,3,3,3,3,3
13433841.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,2,6,1,7,6
13434656.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,6,4,5,3,5
13441623.0,P+S,25–34 years old,Female,No,White,"Master's degree (e.g., MA, MS, MBA)","$80,000–$99,999",Yes,About once a month,3,5,1,4,5
13445452.0,P+S,25–34 years old,Male,No,White,"Doctorate or professional degree (e.g., PhD, JD, MD)","$80,000–$99,999",Yes,About once a month,3,2,4,4,5
13449082.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,2–3 times a month,1,5,1,7,5