Participant_ID,cue,age,gender,hispanic,race,education,income,location,shoppingfreq,perceived_decision_pressure,perceived_authenticity_of_product,perceived_cue_influence,decision_confidence,perceived_manipulativeness,Participant_ID,Condition,Context,Product,wtp,purchase_intent_score,value_score,trust_score
13397789.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Once a week,2,5,5,4,3,13397789.0,both,hedonic,chocolate,20.0,2.0,3.0,5.0
13397789.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Once a week,2,5,5,4,3,13397789.0,both,hedonic,headphones,95.0,4.0,4.0,5.0
13397789.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Once a week,2,5,5,4,3,13397789.0,both,utilitarian,chocolate,20.0,3.0,3.0,4.0
13397789.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Once a week,2,5,5,4,3,13397789.0,both,utilitarian,headphones,68.0,2.0,4.0,5.0
13397990.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,4,2,6,6,13397990.0,scarcity,hedonic,chocolate,25.0,2.0,3.0,3.0
13397990.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,4,2,6,6,13397990.0,scarcity,hedonic,headphones,70.0,3.0,3.0,4.0
13397990.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,4,2,6,6,13397990.0,scarcity,utilitarian,chocolate,10.0,1.0,2.0,1.0
13397990.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,4,2,6,6,13397990.0,scarcity,utilitarian,headphones,30.0,1.0,2.0,2.0
13398020.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,5,1,7,4,13398020.0,both,hedonic,chocolate,30.0,3.0,3.0,3.0
13398020.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,5,1,7,4,13398020.0,both,hedonic,headphones,70.0,4.0,4.0,3.0
13398020.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,5,1,7,4,13398020.0,both,utilitarian,chocolate,10.0,1.0,2.0,1.0
13398020.0,P+S,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Multiple times a week,2,5,1,7,4,13398020.0,both,utilitarian,headphones,30.0,1.0,1.0,2.0
13398032.0,No Cue,18–24 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,3,2,5,5,3,,,,,,,,
13398039.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,1,3,3,6,3,13398039.0,popularity,hedonic,chocolate,6.0,2.0,2.0,4.0
13398039.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,1,3,3,6,3,13398039.0,popularity,hedonic,headphones,90.0,2.0,5.0,3.0
13398039.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,1,3,3,6,3,13398039.0,popularity,utilitarian,chocolate,5.0,1.0,1.0,4.0
13398039.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,1,3,3,6,3,13398039.0,popularity,utilitarian,headphones,20.0,2.0,2.0,4.0
13398111.0,Scarcity,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,Once a week,1,4,2,5,3,13398111.0,scarcity,hedonic,chocolate,10.0,5.0,3.0,4.0
13398111.0,Scarcity,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,Once a week,1,4,2,5,3,13398111.0,scarcity,hedonic,headphones,12.0,1.0,4.0,3.0
13398111.0,Scarcity,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,Once a week,1,4,2,5,3,13398111.0,scarcity,utilitarian,chocolate,4.0,2.0,2.0,4.0
13398111.0,Scarcity,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$80,000–$99,999",Yes,Once a week,1,4,2,5,3,13398111.0,scarcity,utilitarian,headphones,50.0,3.0,5.0,5.0
13398130.0,Popularity,25–34 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,1,5,1,6,5,13398130.0,popularity,hedonic,chocolate,5.0,1.0,2.0,4.0
13398130.0,Popularity,25–34 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,1,5,1,6,5,13398130.0,popularity,hedonic,headphones,150.0,3.0,5.0,5.0
13398130.0,Popularity,25–34 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,1,5,1,6,5,13398130.0,popularity,utilitarian,chocolate,3.99,1.0,2.0,2.0
13398130.0,Popularity,25–34 years old,Male,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,1,5,1,6,5,13398130.0,popularity,utilitarian,headphones,45.0,2.0,3.0,6.0
13398163.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,5,1,6,3,13398163.0,none,hedonic,chocolate,18.0,5.0,3.0,3.0
13398163.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,5,1,6,3,13398163.0,none,hedonic,headphones,25.0,2.0,3.0,2.0
13398163.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,5,1,6,3,13398163.0,none,utilitarian,chocolate,18.0,6.0,4.0,4.0
13398163.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,5,1,6,3,13398163.0,none,utilitarian,headphones,20.0,2.0,3.0,3.0
13398242.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,5,4,2,6,6,13398242.0,both,hedonic,chocolate,10.0,4.0,5.0,5.0
13398242.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,5,4,2,6,6,13398242.0,both,hedonic,headphones,20.0,2.0,5.0,4.0
13398242.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,5,4,2,6,6,13398242.0,both,utilitarian,chocolate,7.0,5.0,5.0,4.0
13398242.0,P+S,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,5,4,2,6,6,13398242.0,both,utilitarian,headphones,0.0,1.0,3.0,6.0
13398264.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,5,5,5,5,6,13398264.0,scarcity,hedonic,chocolate,20.0,4.0,4.0,6.0
13398264.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,5,5,5,5,6,13398264.0,scarcity,hedonic,headphones,10.0,1.0,5.0,6.0
13398264.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,5,5,5,5,6,13398264.0,scarcity,utilitarian,chocolate,3.0,2.0,2.0,4.0
13398264.0,Scarcity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,5,5,5,5,6,13398264.0,scarcity,utilitarian,headphones,10.0,2.0,2.0,3.0
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,hedonic,chocolate,20.0,3.0,4.0,3.0
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,hedonic,headphones,65.0,3.0,5.0,5.0
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,utilitarian,chocolate,10.0,2.0,2.0,5.0
13398503.0,Popularity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Multiple times a week,1,5,5,7,6,13398503.0,popularity,utilitarian,headphones,20.0,1.0,2.0,5.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,hedonic,chocolate,5.0,5.0,5.0,5.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,hedonic,headphones,150.0,3.0,3.0,3.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,utilitarian,chocolate,3.0,2.0,2.0,2.0
13398521.0,No Cue,25–34 years old,Female,No,White,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,1,3,1,5,4,13398521.0,none,utilitarian,headphones,80.0,5.0,3.0,3.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,hedonic,chocolate,30.0,5.0,5.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,hedonic,headphones,100.0,3.0,4.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,utilitarian,chocolate,20.0,5.0,4.0,4.0
13398564.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,Less than once a month,4,3,5,5,5,13398564.0,scarcity,utilitarian,headphones,60.0,3.0,3.0,2.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,hedonic,chocolate,20.0,2.0,3.0,4.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,hedonic,headphones,50.0,5.0,5.0,4.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,utilitarian,chocolate,25.0,2.0,3.0,5.0
13398579.0,P+S,25–34 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,Once a week,3,3,2,2,6,13398579.0,both,utilitarian,headphones,45.0,3.0,2.0,2.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,hedonic,chocolate,20.0,2.0,3.0,2.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,hedonic,headphones,120.0,4.0,4.0,4.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,utilitarian,chocolate,8.0,1.0,3.0,2.0
13398627.0,Popularity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,1,2,5,5,4,13398627.0,popularity,utilitarian,headphones,50.0,3.0,3.0,3.0
13398917.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,2,4,4,5,5,13398917.0,none,hedonic,chocolate,30.0,4.0,5.0,5.0
13398917.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,2,4,4,5,5,13398917.0,none,hedonic,headphones,100.0,3.0,4.0,4.0
13398917.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,2,4,4,5,5,13398917.0,none,utilitarian,chocolate,10.0,3.0,2.0,4.0
13398917.0,No Cue,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,2,4,4,5,5,13398917.0,none,utilitarian,headphones,50.0,3.0,2.0,3.0
13401185.0,P+S,18–24 years old,Prefer not to say,No,Black or African American,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,3,3,2,2,5,13401185.0,both,hedonic,chocolate,20.0,3.0,3.0,3.0
13401185.0,P+S,18–24 years old,Prefer not to say,No,Black or African American,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,3,3,2,2,5,13401185.0,both,hedonic,headphones,15.0,2.0,1.0,1.0
13401185.0,P+S,18–24 years old,Prefer not to say,No,Black or African American,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,3,3,2,2,5,13401185.0,both,utilitarian,chocolate,10.0,5.0,4.0,5.0
13401185.0,P+S,18–24 years old,Prefer not to say,No,Black or African American,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,3,3,2,2,5,13401185.0,both,utilitarian,headphones,19.0,2.0,2.0,2.0
13401568.0,Scarcity,25–34 years old,Non-binary / Third gender,No,Asian,"Master's degree (e.g., MA, MS, MBA)","$100,000–$149,999",Yes,2–3 times a month,5,2,3,5,5,,,,,,,,
13404796.0,P+S,18–24 years old,Male,No,Black or African American,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,4,3,2,7,5,13404796.0,both,hedonic,chocolate,50.0,5.0,6.0,3.0
13404796.0,P+S,18–24 years old,Male,No,Black or African American,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,4,3,2,7,5,13404796.0,both,hedonic,headphones,150.0,3.0,5.0,2.0
13404796.0,P+S,18–24 years old,Male,No,Black or African American,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,4,3,2,7,5,13404796.0,both,utilitarian,chocolate,5.0,2.0,2.0,1.0
13404796.0,P+S,18–24 years old,Male,No,Black or African American,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,4,3,2,7,5,13404796.0,both,utilitarian,headphones,50.0,1.0,3.0,3.0
13405085.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,2,3,5,6,5,13405085.0,scarcity,hedonic,chocolate,20.0,5.0,2.0,3.0
13405085.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,2,3,5,6,5,13405085.0,scarcity,hedonic,headphones,0.0,1.0,4.0,3.0
13405085.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,2,3,5,6,5,13405085.0,scarcity,utilitarian,chocolate,0.0,1.0,1.0,3.0
13405085.0,Scarcity,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,2,3,5,6,5,13405085.0,scarcity,utilitarian,headphones,20.0,3.0,1.0,4.0
13405319.0,No Cue,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,2–3 times a month,1,6,7,7,6,13405319.0,none,hedonic,chocolate,20.0,4.0,2.0,7.0
13405319.0,No Cue,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,2–3 times a month,1,6,7,7,6,13405319.0,none,hedonic,headphones,100.0,3.0,3.0,6.0
13405319.0,No Cue,18–24 years old,Female,No,Asian,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,2–3 times a month,1,6,7,7,6,13405319.0,none,utilitarian,chocolate,10.0,1.0,1.0,2.0
