Participant_ID,Condition,Context,Product,Payment,Intent,Value,Trust
13397789,both,hedonic,chocolate,20.0,2,3,5
13397789,both,hedonic,headphones,95.0,4,4,5
13397789,both,utilitarian,chocolate,20.0,3,3,4
13397789,both,utilitarian,headphones,68.0,2,4,5
13397990,scarcity,hedonic,chocolate,25.0,2,3,3
13397990,scarcity,hedonic,headphones,70.0,3,3,4
13397990,scarcity,utilitarian,chocolate,10.0,1,2,1
13397990,scarcity,utilitarian,headphones,30.0,1,2,2
13398020,both,hedonic,chocolate,30.0,3,3,3
13398020,both,hedonic,headphones,70.0,4,4,3
13398020,both,utilitarian,chocolate,10.0,1,2,1
13398020,both,utilitarian,headphones,30.0,1,1,2
13398039,popularity,hedonic,chocolate,6.0,2,2,4
13398039,popularity,hedonic,headphones,90.0,2,5,3
13398039,popularity,utilitarian,chocolate,5.0,1,1,4
13398039,popularity,utilitarian,headphones,20.0,2,2,4
13398111,scarcity,hedonic,chocolate,10.0,5,3,4
13398111,scarcity,hedonic,headphones,12.0,1,4,3
13398111,scarcity,utilitarian,chocolate,4.0,2,2,4
13398111,scarcity,utilitarian,headphones,50.0,3,5,5
13398130,popularity,hedonic,chocolate,5.0,1,2,4
13398130,popularity,hedonic,headphones,150.0,3,5,5
13398130,popularity,utilitarian,chocolate,3.99,1,2,2
13398130,popularity,utilitarian,headphones,45.0,2,3,6
13398163,no,hedonic,chocolate,18.0,5,3,3
13398163,no,hedonic,headphones,25.0,2,3,2
13398163,no,utilitarian,chocolate,18.0,6,4,4
13398163,no,utilitarian,headphones,20.0,2,3,3
13398242,both,hedonic,chocolate,10.0,4,5,5
13398242,both,hedonic,headphones,20.0,2,5,4
13398242,both,utilitarian,chocolate,7.0,5,5,4
13398242,both,utilitarian,headphones,0.0,1,3,6
13398264,scarcity,hedonic,chocolate,20.0,4,4,6
13398264,scarcity,hedonic,headphones,10.0,1,5,6
13398264,scarcity,utilitarian,chocolate,3.0,2,2,4
13398264,scarcity,utilitarian,headphones,10.0,2,2,3
13398503,popularity,hedonic,chocolate,20.0,3,4,3
13398503,popularity,hedonic,headphones,65.0,3,5,5
13398503,popularity,utilitarian,chocolate,10.0,2,2,5
13398503,popularity,utilitarian,headphones,20.0,1,2,5
13398521,no,hedonic,chocolate,5.0,5,5,5
13398521,no,hedonic,headphones,150.0,3,3,3
13398521,no,utilitarian,chocolate,3.0,2,2,2
13398521,no,utilitarian,headphones,80.0,5,3,3
13398564,scarcity,hedonic,chocolate,30.0,5,5,4
13398564,scarcity,hedonic,headphones,100.0,3,4,4
13398564,scarcity,utilitarian,chocolate,20.0,5,4,4
13398564,scarcity,utilitarian,headphones,60.0,3,3,2
13398579,both,hedonic,chocolate,20.0,2,3,4
13398579,both,hedonic,headphones,50.0,5,5,4
13398579,both,utilitarian,chocolate,25.0,2,3,5
13398579,both,utilitarian,headphones,45.0,3,2,2
13398917,no,hedonic,chocolate,30.0,4,5,5
13398917,no,hedonic,headphones,100.0,3,4,4
13398917,no,utilitarian,chocolate,10.0,3,2,4
13398917,no,utilitarian,headphones,50.0,3,2,3
13401185,both,hedonic,chocolate,20.0,3,3,3
13401185,both,hedonic,headphones,15.0,2,1,1
13401185,both,utilitarian,chocolate,10.0,5,4,5
13401185,both,utilitarian,headphones,19.0,2,2,2
13404796,both,hedonic,chocolate,50.0,5,6,3
13404796,both,hedonic,headphones,150.0,3,5,2
13404796,both,utilitarian,chocolate,5.0,2,2,1
13404796,both,utilitarian,headphones,50.0,1,3,3
13405085,scarcity,hedonic,chocolate,20.0,5,2,3
13405085,scarcity,hedonic,headphones,0.0,1,4,3
13405085,scarcity,utilitarian,chocolate,0.0,1,1,3
13405085,scarcity,utilitarian,headphones,20.0,3,1,4
13405319,no,hedonic,chocolate,20.0,4,2,7
13405319,no,hedonic,headphones,100.0,3,3,6
13405319,no,utilitarian,chocolate,10.0,1,1,2
13405319,no,utilitarian,headphones,60.0,1,2,4
13406503,both,hedonic,chocolate,20.0,3,2,3
13406503,both,hedonic,headphones,110.0,4,5,5
13406503,both,utilitarian,chocolate,10.0,5,1,3
13406503,both,utilitarian,headphones,100.0,4,4,5
13414608,both,hedonic,chocolate,50.0,4,4,4
13414608,both,hedonic,headphones,200.0,4,4,4
13414608,both,utilitarian,chocolate,7.0,3,4,5
13414608,both,utilitarian,headphones,125.0,4,4,4
13415287,no,hedonic,chocolate,25.0,5,5,5
13415287,no,hedonic,headphones,50.0,5,3,4
13415287,no,utilitarian,chocolate,10.0,5,5,5
13415287,no,utilitarian,headphones,20.0,2,2,3
13415294,both,hedonic,chocolate,16.0,2,2,2
13415294,both,hedonic,headphones,120.0,4,4,4
13415294,both,utilitarian,chocolate,12.0,4,3,3
13415294,both,utilitarian,headphones,80.0,2,2,3
13415326,popularity,hedonic,chocolate,7.0,5,4,5
13415326,popularity,hedonic,headphones,50.0,6,5,5
13415326,popularity,utilitarian,chocolate,3.0,6,3,5
13415326,popularity,utilitarian,headphones,25.0,3,3,5
13415333,scarcity,hedonic,chocolate,5.0,3,3,4
13415333,scarcity,hedonic,headphones,50.0,2,3,3
13415333,scarcity,utilitarian,chocolate,2.0,2,2,2
13415333,scarcity,utilitarian,headphones,80.0,5,5,3
13415354,popularity,hedonic,chocolate,6.0,2,3,2
13415354,popularity,hedonic,headphones,8.0,1,5,4
13415354,popularity,utilitarian,chocolate,3.0,4,2,3
13415354,popularity,utilitarian,headphones,50.0,6,3,5
13415615,scarcity,hedonic,chocolate,10.0,2,3,4
13415615,scarcity,hedonic,headphones,100.0,2,4,4
13415615,scarcity,utilitarian,chocolate,1.5,2,1,4
13415615,scarcity,utilitarian,headphones,20.0,1,2,4
13415624,no,hedonic,chocolate,3.0,3,2,4
13415624,no,hedonic,headphones,150.0,5,5,5
13415624,no,utilitarian,chocolate,2.0,1,2,2
13415624,no,utilitarian,headphones,40.0,2,2,6
13415740,popularity,hedonic,chocolate,10.0,5,6,6
13415740,popularity,hedonic,headphones,100.0,5,6,6
13415740,popularity,utilitarian,chocolate,10.0,5,6,6
13415740,popularity,utilitarian,headphones,100.0,5,6,6
13415801,scarcity,hedonic,chocolate,15.0,1,2,3
13415801,scarcity,hedonic,headphones,50.0,1,3,2
13415801,scarcity,utilitarian,chocolate,7.0,1,2,2
13415801,scarcity,utilitarian,headphones,20.0,1,2,2
13416249,no,hedonic,chocolate,5.0,1,1,3
13416249,no,hedonic,headphones,50.0,1,1,2
13416249,no,utilitarian,chocolate,2.0,1,1,2
13416249,no,utilitarian,headphones,50.0,3,3,3
13416442,popularity,hedonic,chocolate,7.5,5,2,5
13416442,popularity,hedonic,headphones,30.0,3,5,3
13416442,popularity,utilitarian,chocolate,5.0,5,2,6
13416442,popularity,utilitarian,headphones,30.0,3,5,3
13416489,scarcity,hedonic,chocolate,0.0,1,3,3
13416489,scarcity,hedonic,headphones,0.0,1,3,3
13416489,scarcity,utilitarian,chocolate,10.0,6,4,4
13416489,scarcity,utilitarian,headphones,10.0,2,3,3
